Question,Answer,Topic
What is the University of San Carlos (USC) administered by?,Society of the Divine Word (SVD) missionaries.,1
Since what year has the University of San Carlos (USC) been administered by the Society of the Divine Word (SVD) missionaries?,1935.,1
What type of educational institution is the University of San Carlos (USC)?,A Catholic educational institution.,1
What is offered by the University of San Carlos (USC) from kindergarten to graduate school?,The complete educational package.,1
What is the University of San Carlos (USC) also referred to as?,University.,1
When did the University of San Carlos (USC) become a University?,1948.,1
Why did the University of San Carlos (USC) expand to the Boys’ High School in 1956?,Due to rapid growth in the ‘50s that saturated the campus near the city center.,1
What was the Boys’ High School renamed to?,North Campus.,1
When did the University of San Carlos (USC) expand to the Teacher Education Center and Girls’ High School?,1964.,1
What was the Teacher Education Center and Girls’ High School renamed to?,South Campus.,1
When was the SVD Formation Center transformed into the Montessori Campus?,2008.,1
How many campuses does the University of San Carlos (USC) currently have?,Five.,1
What is the University of San Carlos (USC) one of the most respected institutions of in the Philippines?,Higher education.,1
What accreditation levels have the University of San Carlos (USC) programs received from the Federation of Accrediting Associations of the Philippines (FAAP)?,Level II or Level III.,1
Who evaluates the accreditation of the University of San Carlos (USC) programs?,"The Philippine Accrediting Association of Schools, Colleges, and Universities (PAASCU).",1
How many engineering programs of the University of San Carlos (USC) are accredited by the Philippine Technological Council-Accreditation and Certification Board for Engineering and Technology (PTC-ACBET)?,Seven.,1
What status was granted to the University of San Carlos (USC) by the Philippine Commission on Higher Education (CHED)?,Autonomous Status.,1
How many Centers of Excellence (COEs) were designated to the University of San Carlos (USC) by the Philippine Commission on Higher Education (CHED)?,Eight.,1
How many Centers of Development (CODs) were designated to the University of San Carlos (USC) by the Philippine Commission on Higher Education (CHED)?,Twelve.,1
What is the ranking of the University of San Carlos (USC) in the QS University Rankings for Asia 2021?,Between 451 to 500.,1
What is the ranking of the University of San Carlos (USC) among the best universities in the Philippines in 2023 according to EduRank?,Number 7.,1
What is the basis of the ranking of the University of San Carlos (USC) in 2023 according to EduRank?,"Research outputs, non-academic prominence, non-academic performance, and alumni influence.",1
How much in external grants did the University of San Carlos (USC) draw in between AY 2018-2021?,PHP298M (~USD5.68M).,1
How much in internal research grants did the University of San Carlos (USC) award from internal funding between AY 2018-2021?,Over PHP11M.,1
What is the size of the print collection in the University of San Carlos (USC) Library System?,"Over 200,000 titles.",1
How many non-print volumes are housed in the University of San Carlos (USC) Library System?,"Almost 10,000.",1
What online subscriptions does the University of San Carlos (USC) Library System have?,Web of Science and Science Direct.,1
How many scholarly journals does the University of San Carlos (USC) publish?,Three.,1
What are the names of the scholarly journals published by the University of San Carlos (USC)?,"The Philippine Scientist, the Philippine Quarterly of Culture and Society, and Devotio: Journal of Business and Economic Studies.",1
What support is available for researchers in the University of San Carlos (USC)?,"Offices or committees providing ethics review, intellectual property and innovation and technology support, and animal care and use.",1
How many patents have been filed by the University of San Carlos (USC) since 2012?,Nineteen.,1
What is the name of the start-up company established by the University of San Carlos (USC)?,"Green Enviro Management Systems (GEMS), Inc.",1
What is the name of the office that supports international students in the University of San Carlos (USC)?,International students’ office.,1
What is available for students in the University of San Carlos (USC) besides online enrolment?,"Dormitories, numerous cafes and canteens, and a transport system within Talamban Campus.",1
