Question,Answer,Topic
What does USC stand for?,University of San Carlos.,0
What does SVD stand for?,Society of the Divine Word.,0
What does PAASCU stand for?,"Philippine Accrediting Association of Schools, Colleges, and Universities.",0
What does PTC-ACBET stand for?,Philippine Technological Council-Accreditation and Certification Board for Engineering and Technology.,0
What does CHED stand for?,Commission on Higher Education.,0
What does COE stand for?,Center of Excellence.,0
What does COD stand for?,Center of Development.,0
What does QS stand for?,Quacquarelli Symonds.,0
What does IPQA stand for?,Institutional Planning and Quality Assurance.,0
What does PAMS stand for?,Office of the Presidential Assistant for Mission and Spirituality.,0
What does OVPAA stand for?,Office of the Vice President for Academic Affairs.,0
What does RDEPO stand for?,"Research, Development, Extension and Publications Office.",0
What does ERIO stand for?,External Relations and Internationalization Office.,0
What does CES stand for?,Community Extension Services.,0
What does NSTP stand for?,National Service Training Program.,0
What does VPAd stand for?,Vice President for Administration.,0
What does IRMO stand for?,Information Resources Management Office.,0
What does SASO stand for?,Student Affairs and Services Office.,0
What does OAP stand for?,Office of Administrator of Properties.,0
What does DPO stand for?,Data Privacy Office.,0
What does HRMO stand for?,Human Resource Management Office.,0
What does OAASJP stand for?,"Office of Alumni Affairs, Scholarship and Job Placement.",0
What does ONES stand for?,"Office of Naming Rights, Endowments and Scholarships.",0
What does OSFA stand for?,Office of Student Formation and Activities.,0
What does CDC stand for?,Counselling and Development Center.,0
What does HSO stand for?,Health Services Office.,0
What does PAG stand for?,Performing Arts Group.,0
What does ARC stand for?,Athletics and Recreation Center.,0
What does PPFO stand for?,Physical Plant and Facilities Office.,0
What does VPF stand for?,Vice President for Finance.,0
What does SAFAD stand for?,"School of Architecture, Fine Arts, and Design.",0
What does SAS stand for?,School of Arts and Sciences.,0
What does SBE stand for?,School of Business and Economics.,0
What does SOE stand for?,School of Engineering.,0
What does SHCP stand for?,School of Healthcare Professions.,0
What does SLG stand for?,School of Law and Governance.,0
What does BED stand for?,Basic Education.,0
What does DASH stand for?,"Department of Anthropology, Sociology, and History.",0
What does DCISM stand for?,"Department of Computer, Information Sciences, and Mathematics.",0
What does DCLL stand for?,"Department of Communications, Linguistics, and Literature.",0
What does DCPE stand for?,Department of Computer Engineering.,0
What does DEEE stand for?,Department of Electrical and Electronics Engineering.,0
What does ORA stand for?,University Office of Recruitment and Admissions.,0
What does CAE stand for?,College Admission Examinations.,0
What does HCCH stand for?,Hague Conference on Private International Law.,0
What does CTC stand for?,Certificate of Transfer Credentials.,0
What does NBCR stand for?,Native Born Certificate of Registration.,0
What does ACR stand for?,Alien Certificate of Registration.,0
What does SSP stand for?,Special Study Permit.,0
What does PHS stand for?,Personal History Statement.,0
What does ISMIS stand for?,Integrated School Management Information System.,0
What does TOR stand for?,Transcript of Records.,0
What does MAR stand for?,Maximum Allowable Residency.,0
What does EDM stand for?,Education with a Mission.,0
What does TPE stand for?,Physical Education.,0
What does GPA stand for?,Grade Point Average.,0
What does CWTS stand for?,Civic Welfare Training Service.,0
What does LTS stand for?,Literacy Training Service.,0
What does ROTC stand for?,Reserve Officers Training Corps.,0
What does INC stand for?,Incomplete.,0
What does NC stand for?,No credit.,0
What does CHL stand for?,Carolinian Honor's List.,0
What does CLG stand for?,Carolinian Lifestyle Guide.,0
What does SSC stand for?,Supreme Student Council.,0
What does AGC stand for?,Awards and Graduation Committee.,0
What does PWD stand for?,Persons with Disabilities.,0
What does SDM stand for?,Student Development Mentors.,0
What does SDEVCOM stand for?,Student Development Committee.,0
What does SDO stand for?,Student Discipline Officer.,0
What does SDC stand for?,Student Discipline Committee.,0
What is the University of San Carlos (USC) administered by?,Society of the Divine Word (SVD) missionaries.,1
Since what year has the University of San Carlos (USC) been administered by the Society of the Divine Word (SVD) missionaries?,1935.,1
What type of educational institution is the University of San Carlos (USC)?,A Catholic educational institution.,1
What is offered by the University of San Carlos (USC) from kindergarten to graduate school?,The complete educational package.,1
What is the University of San Carlos (USC) also referred to as?,University.,1
In what year did the University of San Carlos (USC) become a University?,1948.,1
What prompted the expansion of the University to what was then called the Boys’ High School in 1956?,Rapid growth in the ‘50s saturated the campus near the city center.,1
What was the Boys’ High School later renamed to?,North Campus.,1
In what year did the University expand to the Teacher Education Center and Girls’ High School?,1964.,1
What was the Teacher Education Center and Girls’ High School later renamed to?,South Campus.,1
In what year did the University expand to the Talamban Campus?,Not specified in the text.,1
What was the erstwhile SVD Formation Center transformed into in 2008?,The Montessori Campus.,1
How many campuses does the University have currently?,Five.,1
What is the University of San Carlos (USC) one of the most respected institutions of?,Higher education.,1
What country is the University of San Carlos (USC) located in?,Philippines.,1
What has accredited the programs offered by the University of San Carlos (USC)?,"The Federation of Accrediting Associations of the Philippines (FAAP), as evaluated by the Philippine Accrediting Association of Schools, Colleges, and Universities (PAASCU).",1
How many engineering programs are accredited by the Philippine Technological Council-Accreditation and Certification Board for Engineering and Technology (PTC-ACBET)?,Seven.,1
What status was granted to the University by the Philippine Commission on Higher Education (CHED)?,Autonomous Status.,1
How many Centers of Excellence (COEs) has the University been designated with?,Eight.,1
How many Centers of Development (CODs) has the University been designated with?,Twelve.,1
What is the ranking of the University of San Carlos (USC) in the QS University Rankings for Asia 2021?,Between 451 to 500.,1
What is the ranking of the University of San Carlos (USC) among the best universities in the Philippines in 2023?,Number 7.,1
What is the basis of the ranking of the University of San Carlos (USC) in 2023?,"Research outputs, non-academic prominence, non-academic performance, and alumni influence.",1
What is the University of San Carlos (USC) recognized as in the southern Philippines?,A research hub.,1
How much in external grants did the University of San Carlos (USC) draw in between AY 2018-2021?,PHP298M (~USD5.68M).,1
How much in internal research grants did the University of San Carlos (USC) award from internal funding between AY 2018-2021?,Over PHP11M.,1
What is the size of the print collection in the University’s Library System?,"Over 200,000 titles.",1
How many non-print volumes are housed in the University’s Library System?,"Almost 10,000.",1
What are the subscriptions of the University’s Library System?,Web of Science and Science Direct.,1
How many scholarly journals does the University publish?,Three.,1
What are the names of the scholarly journals published by the University?,"The Philippine Scientist, the Philippine Quarterly of Culture and Society, and Devotio: Journal of Business and Economic Studies.",1
What support is available for researchers through offices or committees?,"Ethics review, intellectual property and innovation and technology support, and animal care and use.",1
How many patents have been filed by the University since 2012?,Nineteen.,1
What is the name of the start-up company established by the University?,"Green Enviro Management Systems (GEMS), Inc.",1
What is the purpose of the international students’ office in the University?,Student support.,1
What is available for students in the University?,"Online enrolment, dormitories, numerous cafes and canteens, and a transport system within Talamban Campus.",1
How many undergraduate and graduate scholars does the University have at any given time?,Over 600.,1
What designation was given to the University since 2014?,Donee Institution by the Philippine Council of Non-Governmental Organization Certification (PCNC).,1
"What is embodied in the two statements ""Education with a Mission"" and ""Witness to the Word""?",The University's Catholic identity.,2
What is the aim of USC in the holistic formation of the individual?,"To enlighten the mind, hone skills, and positively transform character and behavior.",2
What is the goal of every Carolinian?,"To become a catalyst towards the realization of the kingdom of God, promoting truth, love, justice, freedom, peace, and grace.",2
How are Carolinians recognizable in society?,"By their contribution as the ""light"", ""salt"", and ""yeast"" of the Gospel.",2
What are the characteristics of graduates of USC?,"Professionally competent and skilled (Scientia), having noble character and being value-driven (Virtus), and dedicated to social transformation (Devotio).",2
What does the University of San Carlos envision for the world?,A world where the darkness of sin and the night of unbelief vanish before the light of the Word and the Spirit of grace.,2
What does the University of San Carlos envision for society?,"A society where citizens are competent, noble in character, and community-oriented.",2
What is the mission of the University of San Carlos?,"To develop competent and socially responsible professionals and lifelong learners in an environment that fosters excellence in the academic core processes of teaching-learning, research, and community extension service.",2
What is the goal of the University's mission?,"To provide timely, relevant, and transformative academic programs responsive to the needs of the local, national, and global communities in a rapidly changing world.",2
What are the University Core Values?,Integrity; Excellence; Commitment; Social responsibility; Evangelization; and Leadership.,2
How is Integrity defined in the University Core Values?,"Carolinians shall reflect in their personal and professional life the ideals of the Catholic university as ""an academic community, which, in a rigorous and critical fashion, assists in the protection and advancement of human dignity and of a cultural heritage through research, teaching and extension services to the local, national and international communities"".",2
How is Excellence defined in the University Core Values?,Carolinians shall constantly strive to attain the highest standards in their respective fields.,2
How is Commitment defined in the University Core Values?,"Carolinians shall bear in mind that the ultimate goal of the University is the transformation of communities, especially in the Visayas and Mindanao, through the provision of quality basic and higher education.",2
How is Social Responsibility defined in the University Core Values?,Carolinians shall strive to provide themselves and the students an understanding of and effective tools for addressing the prevailing social realities in the country.,2
How is Evangelization defined in the University Core Values?,Carolinians shall seek to understand the values and mores of local cultures and enrich them through gospel values and the teachings of the Church.,2
How is Leadership defined in the University Core Values?,"Carolinians, not only in positions of authority but also in their own personal capacity, shall strive to set the conditions for reflection and learning on their respective educational tasks, both in their departments and in the local community, foster norms of behavior befitting a Witness to the Word and exhibit these norms in their own way of life.",2
What is the ultimate goal of the University according to Commitment?,"The transformation of communities, especially in the Visayas and Mindanao, through the provision of quality basic and higher education.",2
What is the role of Carolinians in society?,"To become a catalyst towards the realization of the kingdom of God, promoting truth, love, justice, freedom, peace, and grace.",2
What is the University's vision for the world?,A world where the darkness of sin and the night of unbelief vanish before the light of the Word and the Spirit of grace.,2
What is the University's vision for society?,"A society where citizens are competent, noble in character, and community-oriented.",2
What is the University's mission?,"To develop competent and socially responsible professionals and lifelong learners in an environment that fosters excellence in the academic core processes of teaching-learning, research, and community extension service.",2
What is the goal of the University's mission?,"To provide timely, relevant, and transformative academic programs responsive to the needs of the local, national, and global communities in a rapidly changing world.",2
What are the characteristics of a Carolinian?,"Professionally competent and skilled (Scientia), having noble character and being value-driven (Virtus), and dedicated to social transformation (Devotio).",2
What is the University's Catholic identity embodied in?,"The two statements ""Education with a Mission"" and ""Witness to the Word"".",2
What is the aim of the University's holistic formation of the individual?,"To enlighten the mind, hone skills, and positively transform character and behavior.",2
What is the role of Carolinians in the local community?,To volunteer their expertise and contribute to effective social and civic programs in the local community.,2
What is the role of Carolinians in the missionary apostolate?,"To support the missionary apostolate in the Visayas and Mindanao, in solidarity with the Philippines Southern Province of the Society of Divine Word.",2
What is the University seal?,The University seal is the official insignia of the University of San Carlos.,3
What does the University seal depict?,The University seal depicts a shield on either side by seven laurel leaves.,3
What do the laurel leaves stand for?,The laurel leaves stand for excellence.,3
How many gifts of the Holy Spirit do the laurel leaves symbolize?,"Each one symbolizes a gift of the Holy Spirit: wisdom, understanding, counsel, fortitude, knowledge, piety, and fear of the Lord.",3
How is the shield divided?,The shield is divided into three parts.,3
What is on the upper left of the shield?,On the upper left of the shield is a globe encircled and topped by a cross.,3
What does the globe encircled and topped by a cross symbolize?,This is the symbol of the SVD in the world.,3
What is on the upper right part of the shield?,On the upper right part of the shield is Magellan’s Cross.,3
What does Magellan’s Cross symbolize?,"Magellan’s Cross symbolizes Cebu City, where USC is located.",3
What is on the bottom half of the shield?,On the bottom half of the shield is an open book.,3
What does the open book symbolize?,"The open book symbolizes knowledge, education, and the Word of God.",3
What is above the book on the shield?,Above the book are three stars.,3
What do the three stars represent?,"The three stars represent the three major island groups of the Philippines: Luzon, Visayas, and Mindanao.",3
What is the significance of the University seal?,The University seal is the official insignia of the University of San Carlos.,3
How many laurel leaves are on the University seal?,There are seven laurel leaves on the University seal.,3
What is the meaning of the laurel leaves on the University seal?,The laurel leaves stand for excellence.,3
What is the significance of the globe on the University seal?,The globe encircled and topped by a cross is the symbol of the SVD in the world.,3
What is the significance of Magellan’s Cross on the University seal?,"Magellan’s Cross symbolizes Cebu City, where USC is located.",3
What is the significance of the open book on the University seal?,"The open book symbolizes knowledge, education, and the Word of God.",3
What do the three stars on the University seal represent?,"The three stars represent the three major island groups of the Philippines: Luzon, Visayas, and Mindanao.",3
What is the University seal a symbol of?,The University seal is the official insignia of the University of San Carlos.,3
What is the University seal divided into?,The University seal is divided into three parts.,3
What is on the upper part of the shield?,On the upper part of the shield is a globe encircled and topped by a cross and Magellan’s Cross.,3
What is on the lower part of the shield?,On the lower part of the shield is an open book.,3
What is the significance of the shield on the University seal?,The shield is divided into three parts.,3
What is the significance of the laurel leaves on either side of the shield?,The laurel leaves stand for excellence.,3
How many parts is the shield divided into?,The shield is divided into three parts.,3
What is the significance of the globe on the upper left of the shield?,The globe encircled and topped by a cross is the symbol of the SVD in the world.,3
What is the significance of Magellan’s Cross on the upper right part of the shield?,"Magellan’s Cross symbolizes Cebu City, where USC is located.",3
What is the significance of the open book on the bottom half of the shield?,"The open book symbolizes knowledge, education, and the Word of God.",3
What do the three stars above the book represent?,"The three stars represent the three major island groups of the Philippines: Luzon, Visayas, and Mindanao.",3
When was the Colegio de San Ildefonso established?,21 August 1595,4
Who established the Colegio de San Ildefonso?,"Jesuit priests Antonio Sedeño, Alonso de Humanes, Mateo Sanchez, and a lay brother Gaspar Garay",4
Why was the Colegio de San Ildefonso closed in 1769?,Because of the papal expulsion of the Jesuits from Spain and all Spanish possessions in 1767,4
Who took over the ownership of the colegio and its properties in 1779?,"The Bishop of Cebu, Msgr. Rubio de Arevalo",4
What was the colegio re-established as in 1779?,The Real Seminario de San Carlos,4
Who took over the colegio in 1852?,The Dominican priests,4
What was the colegio renamed to in 1852?,Seminario Conciliar de San Carlos,4
Who took over the colegio in 1867?,The Vincentians,4
What was the colegio renamed to in 1867?,Seminario-Colegio de San Carlos,4
When did the Seminario-Colegio de San Carlos confer the Bachelor’s degree to its first graduates?,1894,4
Who was one of the first graduates of the Seminario-Colegio de San Carlos?,"Sergio Osmeña, later the fourth president of the Philippines from 1944-1946",4
What happened to the school during the Filipino Revolution against Spain in 1898?,The school closed and later re-opened when American rule began,4
When was the school incorporated as Colegio de San Carlos?,1911,4
Who was the rector of the Colegio de San Carlos in 1911?,Jacinto Villalain,4
When was the school separated from the seminary?,1922,4
Where did the Colegio de San Carlos transfer to in 1930?,Its present site along P. del Rosario Street,4
Who took over the Colegio de San Carlos in 1935?,The German religious order Societas Verbi Divini (SVD),4
What changes did the SVD priests and brothers make to the Colegio de San Carlos between 1935 and 1940?,They changed Colegio de San Carlos into a truly secular college with the addition of two new colleges aside from the existing College of Liberal Arts: Law and Commerce,4
When was the College of Education established?,1938,4
When was the College of Engineering established?,1939,4
What happened to the Colegio during World War II?,"The war brought the Colegio to its knees, leaving its building in ruins with many of its priests and lay killed in the run-up to Liberation",4
Who re-opened the Colegio in June 1945?,Father Josef Jaschik and Father Ernest Hoerdemann,4
Who was appointed to oversee a ten-year reconstruction plan from 1947-1957?,Father Hoerdemann,4
When was the College of Pharmacy added?,1947,4
When was the Colegio granted university status?,1 July 1948,4
What happened to the University after it was granted university status?,"It became a university in the real sense of the word with a steady trickle of priest-scholars who left Fu Jen Catholic University of Beijing, China due to the communist take-over",4
When was a new campus for boys opened?,1956,4
Where was the new campus for boys opened?,"Along Gen. Maxilom Avenue (presently, the North Campus)",4
"When was another campus for grade school boys and girls, for high school girls, and for teachers-to-be inaugurated?",1962,4
"Where was another campus for grade school boys and girls, for high school girls, and for teachers-to-be inaugurated?",On J. Alcantara Street (now called South Campus),4
"When did the University become one of the 11 charter members of the Philippine Accrediting Association of Schools, Colleges, and Universities (PAASCU)?",1957,4
When was the Talamban campus opened?,1963,4
What was constructed in Talamban in 1963?,"The first and only Coconut Chemical Plant in the country, a joint project of the German and Philippine governments",4
What was the Talamban campus known as by 1965?,The Technological Center,4
What was constructed in 1981?,The Arnoldus Science Building and Talamban Campus Dormitories,4
What was constructed in 1982?,The Retreat and Seminar House,4
What was constructed in 1983?,The Anselmo Bustos Multi-Purpose Hall,4
What was constructed in 1985?,The Church of Talamban (later dedicated as the Church of St. Arnold and St. Joseph),4
What was constructed in 1997?,The Science and Mathematics Education Building (an annex edifice to the Arnoldus Science Building),4
What was constructed in 1998?,The Maintenance and Calibration Workshop,4
What was constructed in 1999?,The Arts and Sciences Building (later named as the Philip van Engelen Building),4
What was constructed in 2004?,The Health Sciences Building for the College of Nursing and the College of Pharmacy,4
What was constructed in 2005?,The General Services Building and the College of Architecture and Fine Arts Building,4
What was constructed in 2008?,The Engineering Conference Center (later named as the Michael Richartz Building) and the Executive House,4
What was constructed in 2012?,The covered courts and new dormitories,4
What was constructed in 2012?,The Josef Baumgartner Learning Resource Center,4
What is the University currently undergoing?,Massive landscaping and face-lifting to enhance the academic environment,4
What has been happening to the Downtown Campus?,Massive infrastructure development,4
When did the Arts Division of the College of Arts and Sciences transfer to Talamban Campus?,2009,4
What was constructed in 2009?,The Law and Graduate Business Building,4
What was constructed in 2010?,The Wrocklage Yard,4
What was constructed in 2011?,The Carolinian Inn and Kolk’s Nook,4
What was constructed in 2013?,The Language Academy,4
Who are the three university saints?,"San Carlos Borromeo (1538-1584), St. Arnold Janssen (1837-1909), St. Joseph Freinademetz (1852-1908).",5
Who owns and manages the University of San Carlos?,The Society of Divine Word (SVD).,5
When is the feast of St. Charles Borromeo?,November 4.,5
What was St. Charles Borromeo's role in the Council of Trent?,He facilitated the final deliberations of the Council of Trent and took a large share in the drafting of the Tridentine Catechism.,5
How did St. Charles Borromeo assist the poor during the plague?,"He bravely attended to the sick and the dead victims of the plague, sparing no expense and avoiding no danger in an effort to assist the poor.",5
What was St. Charles Borromeo's role in the reformation movement?,He played a major role against the reformation movement.,5
What was St. Charles Borromeo's contribution to education?,"He worked towards the reform of collegiate churches, seminaries, colleges, and communities for the education, especially of candidates for holy orders.",5
Why was St. Charles Borromeo adopted as the patron of the University of San Carlos?,Because he is the Patron of Seminaries.,5
Who founded the Society of Divine Word (SVD)?,St. Arnold Janssen.,5
Where was St. Arnold Janssen born?,"In the village of Goch in the Rhineland, Germany, not far from the Dutch border.",5
What was St. Arnold Janssen's occupation as a young priest?,A school teacher of the natural sciences and mathematics in Bocholt.,5
What was St. Arnold Janssen's devotion to?,The Sacred Heart of Jesus.,5
What was the name of the devotional magazine founded by St. Arnold Janssen?,The Little Messenger of the Sacred Heart.,5
Why did St. Arnold Janssen found the Society of Divine Word (SVD)?,"Out of obedience to his Bishop, during the difficult days of the Kulturkampf in 1875.",5
How many zones is the SVD missionary world divided into?,"4 zones: Asia-Pacific (ASPAC), Africa-Madagascar (AFRAM), America (PANAM), and Europe (EUROPA).",5
What are the two congregations of missionary sisters founded by St. Arnold Janssen?,"The Sisters of the Holy Spirit (SSpS), fondly called the Blue Sisters, and the contemplative Sisters of the Holy Spirit of Perpetual Adoration (SSpSAP), better known as the Pink Sisters.",5
Where were the first missionaries sent by St. Arnold Janssen?,China.,5
Where were the last missionaries commissioned by St. Arnold Janssen sent?,"The Philippines, setting foot in Abra in 1909, just before he breathed his last.",5
What is St. Arnold Janssen known for?,Being a model not only of a missionary but also of a leader or what is now called a manager or corporate executive officer.,5
What is St. Arnold Janssen known for in terms of communication and media?,"He was truly a holy and dialogical founder, leader, and father, ahead of his time in his use of communication and media.",5
Who was St. Joseph Freinademetz?,One of the first two missionaries sent outside of Germany.,5
Where was St. Joseph Freinademetz born?,"Oies, a small hamlet in the Dolomite Alps of northern Italy, in the region known as South Tyrol, which was then part of the Austro-Hungarian empire.",5
What was St. Joseph Freinademetz's desire as a young priest?,To do a mission in China.,5
Where did St. Joseph Freinademetz study Theology?,At the diocesan seminary of Brixen.,5
Who gave St. Joseph Freinademetz permission to join the missionary community in Steyl?,His Bishop.,5
When did St. Joseph Freinademetz receive the mission Cross?,2 March 1879.,5
Who did St. Joseph Freinademetz depart Europe with?,Fr. Anzer.,5
Where did St. Joseph Freinademetz go after receiving the mission Cross?,China.,5
What was St. Joseph Freinademetz's experience in South Shantung?,"Hard years, marked by long, arduous journeys, assaults by bandits, and the difficult work of forming the first Christian communities.",5
What did St. Joseph Freinademetz learn the hard way?,The lesson of enculturation.,5
What was St. Joseph Freinademetz's desire regarding China?,"""I love China and the Chinese. I want to die among them and be laid to rest among them.""",5
What did St. Joseph Freinademetz express a desire to be in heaven?,"""To be a Chinese even in heaven.""",5
Who beatified St. Joseph Freinademetz and St. Arnold Janssen?,Pope Paul VI on 19 October 1975.,5
Who canonized St. Joseph Freinademetz and St. Arnold Janssen?,Pope John Paul II on 5 October 2003.,5
What type of educational institution is the University of San Carlos (USC)?,"A non-stock, non-profit Catholic educational institution.",6
Who governs the University of San Carlos (USC)?,A ten-member Board of Trustees.,6
What powers does the Board of Trustees have?,Corporate powers by law.,6
Who does the Board of Trustees elect?,The President.,6
